Timestamp,Current,MVoltage,Sl1Voltage,Sl2Voltage,Sl3Voltage,Sl4Voltage
1481837156.81,0.038818359375,3.21460742188,3.21341992187,3.21729296875,3.21722070313,-1.0
1481837157.81,0.0353851318359,3.214609375,3.21341601563,3.21729492188,3.21722460938,-1.0
1481837158.81,0.0294723510742,3.21460546875,3.21342578125,3.217296875,3.21722265625,-1.0
1481837159.86,0.00734710693359,3.21458398437,3.21341601563,3.21728710937,3.21721875,-1.0
1481837160.81,0.0268020629883,3.21461523438,3.21341992187,3.21729492188,3.21722460938,-1.0
1481837161.78,0.0464477539062,3.21458398437,3.21341992187,3.2172890625,3.21722460938,-1.0
1481837162.81,0.0248947143555,3.21460546875,3.21341210938,3.21729296875,3.21722070313,-1.0
1481837163.81,0.0281372070312,3.21461328125,3.21341796875,3.2172890625,3.2172265625,-1.0
1481837164.86,0.0147857666016,3.21458984375,3.21342382813,3.21729882813,3.21722851563,-1.0
1481837165.88,0.0634231567383,3.21458789063,3.213421875,3.21730078125,3.21723046875,-1.0
1481837167.06,0.0405349731445,3.214609375,3.21342578125,3.21729882813,3.21722851563,-1.0
1481837168.06,-0.00238037109375,3.21461328125,3.21341601563,3.21729296875,3.21722851563,-1.0
1481837169.1,0.0365295410156,3.21461132813,3.21342773438,3.217296875,3.2172265625,-1.0
1481837170.06,0.0489273071289,3.21461132813,3.21342773438,3.21729882813,3.21723242187,-1.0
1481837171.07,0.0319519042969,3.21462109375,3.2134296875,3.2173046875,3.217234375,-1.0
1481837172.07,0.0285186767578,3.214609375,3.21343359375,3.21730273438,3.2172265625,-1.0
1481837173.07,0.027946472168,3.2146328125,3.2134375,3.21730273438,3.217234375,-1.0
1481837174.1,0.0283279418945,3.21462304687,3.21342382813,3.217296875,3.21723046875,-1.0
1481837175.07,0.0390090942383,3.21462109375,3.21342382813,3.21730078125,3.21723046875,-1.0
1481837176.19,0.0493087768555,3.21462304687,3.21343164063,3.21730273438,3.21722851563,-1.0
1481837177.19,0.0365295410156,3.21459375,3.21342578125,3.21731054688,3.21723242187,-1.0
1481837178.19,0.0477828979492,3.21461328125,3.21342382813,3.21730078125,3.21723242187,-1.0
1481837179.25,0.0336685180664,3.21459765625,3.213421875,3.21730664062,3.217234375,-1.0
1481837180.19,0.0294723510742,3.2146015625,3.21342773438,3.2173046875,3.21724023438,-1.0
1481837181.2,0.0268020629883,3.21461328125,3.2134296875,3.2173046875,3.217234375,-1.0
1481837182.2,0.00830078125,3.21461523438,3.21342773438,3.21730273438,3.217234375,-1.0
1481837183.2,0.0178375244141,3.21461914062,3.21343164063,3.21730078125,3.21723242187,-1.0
1481837184.26,0.0222244262695,3.21460546875,3.21343554687,3.21730078125,3.21723828125,-1.0
1481837185.2,0.0355758666992,3.2146171875,3.2134296875,3.21730078125,3.21723242187,-1.0
1481837186.27,0.0231781005859,3.21462109375,3.2134296875,3.2173046875,3.21723046875,-1.0
1481837187.2,0.00925445556641,3.21461328125,3.21343554687,3.21731054688,3.217234375,-1.0
1481837188.2,0.0359573364258,3.21460546875,3.21343554687,3.2173046875,3.21724023438,-1.0
1481837189.2,0.0384368896484,3.21459570313,3.21343359375,3.21731054688,3.21723632813,-1.0
1481837190.2,0.0163116455078,3.214609375,3.21343945312,3.21730273438,3.21723632813,-1.0
1481837191.25,0.0172653198242,3.21461132813,3.21343164063,3.21730859375,3.2172421875,-1.0
1481837192.21,0.00982666015625,3.21461523438,3.21343359375,3.2173125,3.21724414063,-1.0
1481837193.26,0.0357666015625,3.21460742188,3.21343359375,3.21730859375,3.21723828125,-1.0
1481837194.21,0.0248947143555,3.21459960938,3.2134375,3.21730664062,3.21724023438,-1.0
1481837195.27,0.0180282592773,3.21458789063,3.2134375,3.21730859375,3.21723632813,-1.0
1481837196.21,0.0161209106445,3.21459960938,3.21343554687,3.21731445313,3.21724023438,-1.0
1481837197.21,0.00715637207031,3.21463476563,3.2134375,3.21731640625,3.21724023438,-1.0
1481837198.21,0.0348129272461,3.21463867187,3.21344140625,3.21731835938,3.21724414063,-1.0
1481837199.27,0.0290908813477,3.21462304687,3.21343945312,3.2173125,3.21724023438,-1.0
1481837200.21,0.0285186767578,3.214609375,3.21344140625,3.21731054688,3.21724609375,-1.0
1481837201.21,0.0126876831055,3.2146171875,3.21344140625,3.21731054688,3.2172421875,-1.0
1481837202.26,0.0247039794922,3.21463476563,3.2134453125,3.2173203125,3.21723828125,-1.0
1481837203.15,0.031379699707,3.2146171875,3.21344140625,3.21731445313,3.21725,-1.0
1481837204.24,0.0285186767578,3.2146171875,3.2134453125,3.21731835938,3.21724609375,-1.0
1481837205.25,0.00143432617188,3.21462890625,3.21343359375,3.21731445313,3.21724804687,-1.0
1481837206.24,0.0330963134766,3.21463085938,3.21344726563,3.21731054688,3.21724414063,-1.0
1481837207.3,0.0208892822266,3.21461914062,3.21344140625,3.21731054688,3.21724609375,-1.0
1481837208.37,0.0136413574219,3.21463476563,3.21344726563,3.21731054688,3.21724414063,-1.0
1481837209.31,0.044921875,3.21462109375,3.2134453125,3.21732617187,3.21724609375,-1.0
1481837210.31,0.025276184082,3.21461132813,3.21345507812,3.21731640625,3.21725,-1.0
1481837211.31,0.0289001464844,3.21462304687,3.21344726563,3.21732226563,3.21725195312,-1.0
1481837212.36,0.0262298583984,3.21461132813,3.21344140625,3.21731835938,3.21725,-1.0
1481837213.55,0.0336685180664,3.21460546875,3.213453125,3.21732421875,3.21724804687,-1.0
1481837214.54,0.0409164428711,3.21462109375,3.21344921875,3.21731640625,3.21724804687,-1.0
1481837215.55,0.0407257080078,3.21463085938,3.21345703125,3.21732617187,3.21725195312,-1.0
1481837216.54,0.0556030273438,3.21462304687,3.21345117188,3.2173203125,3.21725390625,-1.0
1481837217.64,0.025276184082,3.2146015625,3.21345117188,3.21732226563,3.21725195312,-1.0
1481837218.7,0.0124969482422,3.21462890625,3.21344921875,3.217328125,3.21725976563,-1.0
1481837219.61,0.0311889648438,3.214625,3.21344921875,3.2173203125,3.2172578125,-1.0
1481837220.61,0.0214614868164,3.2146171875,3.21345117188,3.21732421875,3.21725976563,-1.0
1481837221.61,0.0216522216797,3.21462109375,3.2134453125,3.217328125,3.2172578125,-1.0
1481837222.84,0.0315704345703,3.21464257812,3.213453125,3.217328125,3.21725195312,-1.0
1481837223.84,0.0227966308594,3.2146171875,3.21345703125,3.21732617187,3.2172578125,-1.0
1481837224.77,0.019172668457,3.214640625,3.21345117188,3.21732421875,3.21725195312,-1.0
1481837225.77,0.0199356079102,3.21462304687,3.2134609375,3.217328125,3.21725195312,-1.0
1481837226.78,0.00734710693359,3.21464453125,3.21344726563,3.21732226563,3.21726171875,-1.0
1481837227.89,0.0103988647461,3.21464648438,3.21345507812,3.21733007813,3.21725585938,-1.0
1481837228.84,0.0287094116211,3.21463671875,3.213453125,3.21733398438,3.21725,-1.0
1481837229.84,0.0277557373047,3.21463476563,3.21345507812,3.21733789063,3.21726171875,-1.0
1481837230.89,0.0248947143555,3.2146484375,3.21346289063,3.21733203125,3.21726367188,-1.0
1481837232.15,0.0134506225586,3.21465234375,3.2134609375,3.21733203125,3.217265625,-1.0
1481837233.12,0.027946472168,3.21464257812,3.213453125,3.21732421875,3.21725390625,-1.0
1481837234.12,0.0319519042969,3.21463476563,3.2134609375,3.217328125,3.21725585938,-1.0
1481837235.12,0.0386276245117,3.21462890625,3.21345507812,3.21733789063,3.217265625,-1.0
1481837236.12,0.0256576538086,3.214640625,3.21346289063,3.21733203125,3.2172578125,-1.0
1481837237.16,0.038818359375,3.21462890625,3.21346289063,3.21733398438,3.21725976563,-1.0
1481837238.13,0.0247039794922,3.21462890625,3.2134609375,3.21733789063,3.21726367188,-1.0
1481837239.18,0.0361480712891,3.214640625,3.21346484375,3.21733398438,3.21727148437,-1.0
1481837240.13,0.0250854492188,3.21464257812,3.21346289063,3.21733789063,3.21726367188,-1.0
1481837241.19,0.0336685180664,3.21463867187,3.21346484375,3.2173359375,3.21726367188,-1.0
1481837242.13,0.0428237915039,3.21463476563,3.21346679688,3.21734375,3.21726953125,-1.0
1481837243.19,0.0294723510742,3.21463671875,3.21347265625,3.21733789063,3.21726171875,-1.0
1481837244.13,0.0248947143555,3.21463476563,3.21346484375,3.217328125,3.2172734375,-1.0
